entry	symbol	decompile_status	decompile_file	file_present	evidence_class	research_status	next_action	textual_callers_count	textual_callers	textual_callees_count	textual_callees	source_cpp_h_references	callgraph_basis	ghidra_catalog_present	ghidra_calling_convention	ghidra_signature	ghidra_body_min	ghidra_body_max	ghidra_body_address_count	ghidra_is_thunk	ghidra_thunk_target	ghidra_direct_callers_count	ghidra_direct_callers	ghidra_direct_callees_count	ghidra_direct_callees	ghidra_incoming_ref_count	ghidra_incoming_flow_refs	ghidra_incoming_data_refs	ghidra_incoming_other_refs
004D8EF0	FUN_004d8ef0	ok	004d8ef0_FUN_004d8ef0.c	true	CORPUS_ONLY	UNMAPPED	triage-by-entrypoint-or-caller	4	FUN_004829F2;FUN_00489A3E;FUN_005284A0;FUN_00529BF8	4	FUN_004310A0;FUN_004C8CE0;FUN_004CB900;FUN_0054AC09	0	ghidra-direct-plus-exported-decompile-text	true	unknown	undefined FUN_004d8ef0(void)	004D8EF0	004D9070	385	false		4	004829F2:FUN_004829f2;00489A3E:FUN_00489a3e;005284A0:FUN_005284a0;00529BF8:FUN_00529bf8	5	004310A0:FUN_004310a0;004C8CE0:FUN_004c8ce0;004CB900:FUN_004cb900;0054AC09:FUN_0054ac09;0058F0CA:operator_new	9	9	0	0
004D9071	FUN_004d9071	ok	004d9071_FUN_004d9071.c	true	CORPUS_ONLY	UNMAPPED	triage-by-entrypoint-or-caller	1	FUN_004D97A0	1	FUN_004C8D6C	0	ghidra-direct-plus-exported-decompile-text	true	unknown	undefined FUN_004d9071(void)	004D9071	004D908C	28	false		1	004D97A0:FUN_004d97a0	1	004C8D6C:FUN_004c8d6c	1	1	0	0
004D908D	FUN_004d908d	ok	004d908d_FUN_004d908d.c	true	CORPUS_ONLY	UNMAPPED	triage-by-entrypoint-or-caller	0		2	FUN_004B14FD;FUN_004C8DAA	0	ghidra-direct-plus-exported-decompile-text	true	unknown	undefined FUN_004d908d(void)	004D908D	004D90DC	80	false		0		2	004B14FD:FUN_004b14fd;004C8DAA:FUN_004c8daa	1	0	1	0
004D90DD	FUN_004d90dd	ok	004d90dd_FUN_004d90dd.c	true	CORPUS_ONLY	UNMAPPED	triage-by-entrypoint-or-caller	0		1	FUN_004B14FD	0	ghidra-direct-plus-exported-decompile-text	true	unknown	undefined FUN_004d90dd(void)	004D90DD	004D93D3	759	false		0		1	004B14FD:FUN_004b14fd	1	0	1	0
004D93D4	FUN_004d93d4	ok	004d93d4_FUN_004d93d4.c	true	CORPUS_ONLY	UNMAPPED	triage-by-entrypoint-or-caller	0		2	FUN_00423B00;FUN_004B14FD	0	ghidra-direct-plus-exported-decompile-text	true	unknown	undefined FUN_004d93d4(void)	004D93D4	004D979F	972	false		0		3	00423B00:FUN_00423b00;004B14FD:FUN_004b14fd;0058F1F0:__ftol	1	0	1	0
004D97A0	FUN_004d97a0	ok	004d97a0_FUN_004d97a0.c	true	CORPUS_ONLY	UNMAPPED	triage-by-entrypoint-or-caller	0		2	FUN_004D9071;FUN_0058EA3A	0	ghidra-direct-plus-exported-decompile-text	true	unknown	undefined FUN_004d97a0(void)	004D97A0	004D97CD	46	false		0		2	004D9071:FUN_004d9071;0058EA3A:FUN_0058ea3a	1	0	1	0
004D97D0	FUN_004d97d0	ok	004d97d0_FUN_004d97d0.c	true	CORPUS_ONLY	UNMAPPED	triage-by-entrypoint-or-caller	1	FUN_004C37C4	5	FUN_00421910;FUN_00430F10;FUN_00430FC0;FUN_004C8CE0;FUN_004CB8E0	0	ghidra-direct-plus-exported-decompile-text	true	unknown	undefined FUN_004d97d0(void)	004D97D0	004D9B79	938	false		1	004C37C4:FUN_004c37c4	6	00421910:FUN_00421910;00430F10:FUN_00430f10;00430FC0:FUN_00430fc0;004C8CE0:FUN_004c8ce0;0058F020:_memset;0058F1F0:__ftol	1	1	0	0
004D9B7A	FUN_004d9b7a	ok	004d9b7a_FUN_004d9b7a.c	true	CORPUS_ONLY	UNMAPPED	triage-by-entrypoint-or-caller	1	FUN_004DC900	1	FUN_004C8D6C	0	ghidra-direct-plus-exported-decompile-text	true	unknown	undefined FUN_004d9b7a(void)	004D9B7A	004D9B95	28	false		1	004DC900:FUN_004dc900	1	004C8D6C:FUN_004c8d6c	1	1	0	0
004D9B96	FUN_004d9b96	ok	004d9b96_FUN_004d9b96.c	true	CORPUS_ONLY	UNMAPPED	triage-by-entrypoint-or-caller	0		0		0	ghidra-direct-plus-exported-decompile-text	true	unknown	undefined FUN_004d9b96(void)	004D9B96	004D9BDD	72	false		0		0		1	0	1	0
004D9BDE	FUN_004d9bde	ok	004d9bde_FUN_004d9bde.c	true	CORPUS_ONLY	UNMAPPED	triage-by-entrypoint-or-caller	0		7	FUN_00430F10;FUN_004B14FD;FUN_004B925C;FUN_00561A5B;FUN_0056230D;FUN_005624C9;FUN_00562566	0	ghidra-direct-plus-exported-decompile-text	true	unknown	undefined FUN_004d9bde(void)	004D9BDE	004DA606	2601	false		0		8	00430F10:FUN_00430f10;004B14FD:FUN_004b14fd;004B925C:FUN_004b925c;00561A68:thunk_FUN_00561a5b;0056233B:thunk_FUN_0056230d;005624E5:thunk_FUN_005624c9;00562582:thunk_FUN_00562566;0058F1F0:__ftol	1	0	1	0
004DA607	FUN_004da607	ok	004da607_FUN_004da607.c	true	CORPUS_ONLY	UNMAPPED	triage-by-entrypoint-or-caller	0		16	FUN_00421910;FUN_00430F10;FUN_00430F50;FUN_00430FC0;FUN_004310A0;FUN_004A8940;FUN_004C5B90;FUN_004C8F70;FUN_004D8910;FUN_004DC930;FUN_0054AC09;FUN_0056144F;FUN_00561462;FUN_0056272C;FUN_00562AD1;FUN_005630FC	0	ghidra-direct-plus-exported-decompile-text	true	unknown	undefined FUN_004da607(void)	004DA607	004DC8F0	8938	false		0		19	00421910:FUN_00421910;00430F10:FUN_00430f10;00430F50:FUN_00430f50;00430FC0:FUN_00430fc0;004310A0:FUN_004310a0;004A8940:FUN_004a8940;004C5B90:FUN_004c5b90;004C8F70:FUN_004c8f70;004D8910:FUN_004d8910;004DC930:FUN_004dc930;0054AC09:FUN_0054ac09;0056145C:thunk_FUN_0056144f;0056146F:thunk_FUN_00561462;00562739:thunk_FUN_0056272c;00562ADE:thunk_FUN_00562ad1;00563120:thunk_FUN_005630fc;0058F0CA:operator_new;0058F1F0:__ftol;005900CE:_rand	1	0	1	0
004DC900	FUN_004dc900	ok	004dc900_FUN_004dc900.c	true	CORPUS_ONLY	UNMAPPED	triage-by-entrypoint-or-caller	0		2	FUN_004D9B7A;FUN_0058EA3A	0	ghidra-direct-plus-exported-decompile-text	true	unknown	undefined FUN_004dc900(void)	004DC900	004DC92D	46	false		0		2	004D9B7A:FUN_004d9b7a;0058EA3A:FUN_0058ea3a	1	0	1	0
004DC930	FUN_004dc930	ok	004dc930_FUN_004dc930.c	true	CORPUS_ONLY	UNMAPPED	triage-by-entrypoint-or-caller	1	FUN_004DA607	0		0	ghidra-direct-plus-exported-decompile-text	true	unknown	undefined FUN_004dc930(void)	004DC930	004DC95E	47	false		1	004DA607:FUN_004da607	0		1	1	0	0
004DC960	FUN_004dc960	ok	004dc960_FUN_004dc960.c	true	CORPUS_ONLY	UNMAPPED	triage-by-entrypoint-or-caller	1	FUN_0052236F	9	FUN_00429A6D;FUN_0042AD2B;FUN_0042AFD0;FUN_00430F50;FUN_004310A0;FUN_00493DB0;FUN_004B3AA0;FUN_0054A9E0;FUN_005611DD	0	ghidra-direct-plus-exported-decompile-text	true	unknown	undefined FUN_004dc960(void)	004DC960	004DCB66	519	false		1	0052236F:FUN_0052236f	11	00429A6D:FUN_00429a6d;0042AD2B:FUN_0042ad2b;0042AFD0:FUN_0042afd0;00430F50:FUN_00430f50;00431070:CSimpleArray<>;004310A0:FUN_004310a0;00493DB0:FUN_00493db0;004B3AA0:FUN_004b3aa0;0054A9E0:FUN_0054a9e0;005611EA:thunk_FUN_005611dd;0058F1F0:__ftol	1	1	0	0
004DCB67	FUN_004dcb67	ok	004dcb67_FUN_004dcb67.c	true	CORPUS_ONLY	UNMAPPED	triage-by-entrypoint-or-caller	1	FUN_004DCD90	1	FUN_0054AA45	0	ghidra-direct-plus-exported-decompile-text	true	unknown	undefined FUN_004dcb67(void)	004DCB67	004DCB82	28	false		1	004DCD90:FUN_004dcd90	1	0054AA45:FUN_0054aa45	1	1	0	0
004DCB83	FUN_004dcb83	ok	004dcb83_FUN_004dcb83.c	true	CORPUS_ONLY	UNMAPPED	triage-by-entrypoint-or-caller	0		3	FUN_004310A0;FUN_004C8F70;FUN_0054AC09	0	ghidra-direct-plus-exported-decompile-text	true	unknown	undefined FUN_004dcb83(void)	004DCB83	004DCD8D	523	false		0		4	004310A0:FUN_004310a0;004C8F70:FUN_004c8f70;0054AC09:FUN_0054ac09;0058F0CA:operator_new	1	0	1	0
